wd,Y,Length,Midpoint
60,-249.48784847208935,881.5359828017821,507.6176454097752
60,-184.3840455927857,979.4844253353134,539.1474631763402
60,-119.28024271348193,1077.4328678688448,570.6772809429051
60,-54.176439834178154,1175.3813104023761,602.2070987094701
60,10.927363045125503,1258.0788991918348,641.3623433480714
60,76.03116592442927,1265.1647455258098,718.3234592144149
60,141.13496880373293,1266.5722673982496,792.4454128499904
60,206.2387716830367,1135.4232977749084,800.2891207376758
60,271.34257456234036,1004.2743281515676,808.1328286253611
60,336.44637744164424,873.1253585282261,815.9765365130463
70,-783.8591153917242,0.0,365.518032676996
70,-710.8704230620838,97.56696011914494,380.2664639578547
70,-637.8817307324434,195.13392023828987,395.0148952387135
70,-564.8930384028031,292.7008803574346,409.7633265195722
70,-491.9043460731626,390.26784047657964,424.511757800431
70,-418.9156537435222,487.83480059572446,439.26018908128975
70,-345.9269614138818,585.4017607148695,454.0086203621485
70,-272.9382690842414,682.9687208340143,468.7570516430073
70,-199.94957675460103,780.5356809531593,483.505482923866
70,-126.96088442496068,878.1026410723041,498.25391420472477
70,-53.972192095320224,975.669601191449,513.0023454855834
70,19.016500234320233,1049.2778983291948,539.730108257142
70,92.00519256396058,1054.8872711198946,600.4573332022233
70,164.99388489360092,1060.4966439105942,661.1845581473044
70,237.98257722324138,1066.106016701294,721.9117830923859
70,310.97126955288184,1071.7153894919938,782.6390080374672
70,383.9599618825222,1077.3247622826934,843.3662329825486
70,456.9486542121625,299.79174237989764,1140.9789509830127
70,529.9373465418029,149.89587118994905,1123.9535539377357
80,-708.4789938282993,5.684341886080802e-14,496.08069938146036
80,-629.8231365306979,102.4064534018188,492.2086831484925
80,-551.1672792330966,204.81290680363713,488.3366669155246
80,-472.51142193549515,307.2193602054558,484.4646506825568
80,-393.8555646378938,409.6258136072744,480.59263444958896
80,-315.19970734029243,512.0322670090928,476.72061821662106
80,-236.54385004269102,614.4387204109116,472.8486019836532
80,-157.88799274508972,716.8451738127301,468.97658575068544
80,-79.2321354474883,819.2516272145488,465.10456951771755
80,-0.576278149886889,921.6580806163674,461.23255328474966
80,78.07957914771441,927.1138563470846,505.8358758873325
80,156.73543644531583,931.8540729294504,550.796978064091
80,235.39129374291724,936.5942895118161,595.7580802408497
80,314.04715104051854,941.3345060941817,640.7191824176083
80,392.70300833811984,946.0747226765476,685.6802845943668
80,471.35886563572126,390.9984089255281,1010.549651937818
80,550.0147229333227,395.73862550792296,1055.5107541145621
80,628.6705802309241,375.6995786530206,1088.0822245726574
80,707.3264375285255,187.84978932651018,1036.7483237949486
90,-611.5720965450705,0.0,611.5702050641652
90,-529.6389927017115,113.4454852235616,586.3600972367274
90,-447.7058888583525,226.89097044712287,561.1499894092894
90,-365.77278501499353,340.33645567068424,535.9398815818516
90,-283.83968117163454,453.7819408942457,510.7297737544137
90,-201.90657732827555,567.227426117807,485.5196659269758
90,-119.97347348491655,680.6729113413683,460.309558099538
90,-38.04036964155762,794.1183965649296,435.0994502721001
90,43.89273420180143,849.0404171890405,439.15107474438764
90,125.82583804516048,853.2421018269654,468.562867209768
90,207.75894188851942,857.4437864648904,497.9746596751483
90,289.69204573187835,861.6454711028152,527.3864521405286
90,371.6251495752374,865.8471557407403,556.7982446059091
90,453.55825341859645,870.0488403786652,586.2100370712894
90,535.4913572619553,355.3424722345226,875.0758559277035
90,617.4244611053143,359.54415687247354,904.4876483930707
90,699.3575649486734,363.7458415104247,933.8994408584381
90,781.2906687920324,367.9475261483757,963.3112333238053
90,863.2237726353915,273.10950146414666,943.2031711280825
100,-496.0828905787329,0.0,708.4774595354513
100,-413.3620360897457,134.2726609024087,657.4765553592138
100,-330.6411816007585,268.5453218048175,606.4756511829762
100,-247.92032711177137,402.81798270722624,555.4747470067387
100,-165.19947262278419,537.090643609635,504.4738428305011
100,-82.478618133797,671.3633045120437,453.47293865426354
100,0.24223635519012987,805.2540960691662,402.6629691506692
100,82.96309084417737,809.1228854286869,416.8640007458756
100,165.6839453331645,812.9916747882075,431.0650323410821
100,248.40479982215163,816.8604641477284,445.26606393628856
100,331.1256543111389,820.729253507249,459.46709553149503
100,413.846508800126,824.5980428667698,473.66812712670145
100,496.56736328911313,828.4668322262905,487.869158721908
100,579.2882177781004,334.67293800511686,750.9015321074617
100,662.0090722670876,338.5417273646618,765.102563702656
100,744.7299267560746,342.4105167242068,779.3035952978503
100,827.4507812450619,346.27930608375186,793.5046268930446
100,910.1716357340491,350.1480954432968,807.7056584882389
